ImageID,lightleak,pen,ruler,border,corner,blur,hair_some,hair_obscure
ISIC_0052060.jpg,1.62E-04,5.57E-03,9.17E-01,3.12E-04,2.10E-03,7.60E-02,9.93E-01,1.10E-03
ISIC_0058510.jpg,2.83E-04,5.17E-03,1.00E+00,5.84E-05,8.45E-04,8.39E-02,5.75E-03,7.09E-06
ISIC_0095790.jpg,4.11E-03,1.68E-02,4.76E-01,4.96E-03,3.36E-02,1.64E-01,9.47E-01,9.92E-03
ISIC_0101040.jpg,5.94E-05,3.86E-04,2.19E-05,9.89E-01,1.48E-04,5.96E-01,9.81E-01,6.94E-03
ISIC_0112420.jpg,1.26E-05,2.69E-04,2.53E-05,1.99E-02,1.12E-04,2.33E-01,2.15E-03,1.57E-04
ISIC_0148210.jpg,1.12E-05,2.14E-04,9.76E-04,6.20E-04,9.53E-05,6.66E-01,5.43E-04,5.08E-06
ISIC_0165230.jpg,3.08E-03,2.66E-02,9.99E-01,5.15E-05,8.49E-01,3.98E-01,8.59E-03,1.99E-05
ISIC_0174800.jpg,3.32E-05,5.16E-04,4.86E-03,9.60E-04,1.27E-04,9.73E-02,1.06E-03,1.14E-05
ISIC_0197440.jpg,1.74E-04,1.53E-03,4.45E-04,9.90E-01,1.54E-03,1.47E-01,9.31E-01,2.20E-03
ISIC_0197860.jpg,1.39E-05,9.79E-05,1.02E-03,3.62E-04,9.68E-05,5.42E-01,7.91E-04,8.69E-06
ISIC_0199780.jpg,1.65E-05,4.99E-04,9.84E-01,7.49E-05,3.87E-04,2.58E-01,5.06E-04,2.29E-06
ISIC_0200120.jpg,5.35E-05,2.57E-04,6.62E-04,6.30E-06,8.09E-01,1.51E-01,3.31E-04,3.20E-06
ISIC_0209640.jpg,6.33E-05,2.13E-03,1.00E+00,2.68E-05,2.22E-03,4.14E-01,6.81E-04,7.93E-07
ISIC_0223760.jpg,7.84E-06,4.67E-04,1.00E+00,5.79E-05,8.55E-05,1.64E-01,1.34E-03,7.72E-07
ISIC_0263920.jpg,4.54E-06,2.30E-04,1.00E+00,1.38E-06,4.20E-05,6.96E-02,2.97E-04,2.37E-07
ISIC_0272190.jpg,1.07E-04,6.65E-04,1.29E-04,9.72E-01,2.26E-03,6.42E-01,8.46E-04,1.06E-04
ISIC_0294150.jpg,5.68E-05,1.05E-03,6.47E-04,4.88E-03,1.91E-04,2.11E-01,1.93E-03,4.77E-05
ISIC_0296540.jpg,3.94E-04,2.94E-02,9.39E-01,2.91E-05,3.33E-01,1.78E-01,3.66E-04,1.34E-06
ISIC_0299870.jpg,6.00E-06,1.96E-04,6.42E-04,2.10E-03,5.38E-05,3.06E-02,2.32E-04,8.03E-06
ISIC_0310320.jpg,6.65E-06,1.91E-04,1.30E-04,1.45E-03,3.80E-05,3.28E-01,1.15E-03,4.64E-05
ISIC_0319990.jpg,4.19E-04,3.10E-03,2.83E-04,9.79E-01,2.46E-03,3.97E-01,5.23E-03,1.11E-03
ISIC_0329910.jpg,5.95E-04,1.57E-02,9.97E-01,1.75E-04,9.01E-03,7.63E-01,1.81E-03,4.15E-05
